city,state_id,lat,lng,population,timezone,military
Lordstown,OH,41.1684,-80.859,3258,America/New_York,False
Cambrian Park,CA,37.2563,-121.9287,3258,America/Los_Angeles,False
Philippi,WV,39.1487,-80.0418,3257,America/New_York,False
Spencer,NC,35.6989,-80.4248,3257,America/New_York,False
West Point,VA,37.5519,-76.8017,3257,America/New_York,False
Chickamauga,GA,34.8753,-85.2886,3256,America/New_York,False
Spearman,TX,36.1983,-101.1944,3256,America/Chicago,False
West Wyomissing,PA,40.3221,-75.9953,3255,America/New_York,False
Berwyn Heights,MD,38.9929,-76.9131,3255,America/New_York,False
Water Valley,MS,34.1622,-89.6301,3255,America/Chicago,False
Newburgh,IN,37.9494,-87.4053,3252,America/Chicago,False
Myerstown,PA,40.3722,-76.3055,3251,America/New_York,False
Nesquehoning,PA,40.8659,-75.8322,3250,America/New_York,False
North Shore,VA,37.0778,-79.6518,3249,America/New_York,False
Bad Axe,MI,43.8036,-82.9981,3249,America/Detroit,False
Williams,AZ,35.2476,-112.1833,3248,America/Phoenix,False
Annetta,TX,32.6938,-97.6581,3248,America/Chicago,False
Cabán,PR,18.4448,-67.1357,3248,America/Puerto_Rico,False
Franklin,MI,42.5187,-83.303,3246,America/Detroit,False
Dawsonville,GA,34.4362,-84.125,3246,America/New_York,False
Four Bridges,OH,39.3828,-84.3542,3246,America/New_York,False
Kotzebue,AK,66.8766,-162.5231,3246,America/Nome,False
Grangeville,ID,45.926,-116.1225,3245,America/Los_Angeles,False
Sleepy Hollow,IL,42.0913,-88.3137,3244,America/Chicago,False
Cottonwood,CA,40.3904,-122.2861,3243,America/Los_Angeles,False
Yerington,NV,38.9554,-119.1101,3241,America/Los_Angeles,False
Uniontown,OH,40.9736,-81.4045,3241,America/New_York,False
Moulton,AL,34.4843,-87.2831,3241,America/Chicago,False
Monmouth Beach,NJ,40.3364,-73.9863,3239,America/New_York,False
Locust,NC,35.2687,-80.4368,3238,America/New_York,False
Tipton,CA,36.0585,-119.313,3238,America/Los_Angeles,False
Bay Pines,FL,27.8139,-82.7747,3238,America/New_York,False
Garnett,KS,38.2845,-95.2408,3235,America/Chicago,False
Kemmerer,WY,41.7761,-110.5555,3235,America/Denver,False
Vinton,LA,30.1957,-93.5818,3234,America/Chicago,False
Greenbriar,FL,28.0112,-82.7523,3234,America/New_York,False
Iowa Colony,TX,29.4405,-95.4168,3233,America/Chicago,False
